日期,原神
2021-03-22,51916
2021-03-23,48884
2021-03-24,48627
2021-03-25,47576
2021-03-26,55124
2021-03-27,85676
2021-03-28,64514
2021-03-29,45797
2021-03-30,47673
2021-03-31,44164
2021-04-01,44513
2021-04-02,60208
2021-04-03,85056
2021-04-04,73407
2021-04-05,56964
2021-04-06,46713
2021-04-07,45067
2021-04-08,40880
2021-04-09,45601
2021-04-10,60965
2021-04-11,53506
2021-04-12,40439
2021-04-13,41674
2021-04-14,40080
2021-04-15,36359
2021-04-16,51273
2021-04-17,67691
2021-04-18,52426
2021-04-19,33664
2021-04-20,32881
2021-04-21,33505
2021-04-22,35760
2021-04-23,42991
2021-04-24,51521
2021-04-25,36223
2021-04-26,36219
2021-04-27,40591
2021-04-28,67218
2021-04-29,46704
2021-04-30,63199
2021-05-01,79875
2021-05-02,68206
2021-05-03,60400
2021-05-04,53886
2021-05-05,44262
2021-05-06,31755
2021-05-07,30685
2021-05-08,36908
2021-05-09,45961
2021-05-10,28885
2021-05-11,31319
2021-05-12,29969
2021-05-13,30019
2021-05-14,37827
2021-05-15,58258
2021-05-16,49713
2021-05-17,33425
2021-05-18,40504
2021-05-19,40155
2021-05-20,34721
2021-05-21,41277
2021-05-22,60575
2021-05-23,54600
2021-05-24,53626
2021-05-25,48161
2021-05-26,43220
2021-05-27,42500
2021-05-28,49845
2021-05-29,66913
2021-05-30,55294
2021-05-31,37429
2021-06-01,39560
2021-06-02,38191
2021-06-03,40352
2021-06-04,45224
2021-06-05,60320
2021-06-06,55450
2021-06-07,48876
2021-06-08,51229
2021-06-09,79774
2021-06-10,62448
2021-06-11,68479
2021-06-12,78373
2021-06-13,77956
2021-06-14,68486
2021-06-15,51113
2021-06-16,48305
2021-06-17,47051
2021-06-18,49457
2021-06-19,61837
2021-06-20,58623
2021-06-21,48532
2021-06-22,53581
2021-06-23,46960
2021-06-24,47976
2021-06-25,50737
2021-06-26,59058
2021-06-27,55678
2021-06-28,47612
2021-06-29,52377
2021-06-30,54345
2021-07-01,57296
2021-07-02,57121
2021-07-03,61168
2021-07-04,59455
2021-07-05,54119
2021-07-06,54003
2021-07-07,55211
2021-07-08,55683
2021-07-09,67523
2021-07-10,70716
2021-07-11,63089
2021-07-12,61884
2021-07-13,59959
2021-07-14,58419
2021-07-15,59709
2021-07-16,59026
2021-07-17,61849
2021-07-18,63423
2021-07-19,68015
2021-07-20,71771
2021-07-21,130924
2021-07-22,99549
2021-07-23,91623
2021-07-24,85749
2021-07-25,84613
2021-07-26,78009
2021-07-27,73489
2021-07-28,71332
2021-07-29,67427
2021-07-30,66764
2021-07-31,69166
2021-08-01,72522
2021-08-02,73531
2021-08-03,73136
2021-08-04,91157
2021-08-05,92109
2021-08-06,82288
2021-08-07,82433
2021-08-08,87014
2021-08-09,88808
2021-08-10,100209
2021-08-11,90432
2021-08-12,83262
2021-08-13,80877
2021-08-14,78163
2021-08-15,79908
2021-08-16,78742
2021-08-17,78696
2021-08-18,80608
2021-08-19,77913
2021-08-20,87336
2021-08-21,90833
2021-08-22,84580
2021-08-23,82740
2021-08-24,80887
2021-08-25,75932
2021-08-26,77836
2021-08-27,76010
2021-08-28,75353
2021-08-29,73905
2021-08-30,77950
2021-08-31,84004
2021-09-01,133072
2021-09-02,95382
2021-09-03,97773
2021-09-04,122584
2021-09-05,104277
2021-09-06,74211
2021-09-07,68056
2021-09-08,127082
2021-09-09,63458
2021-09-10,77988
2021-09-11,106570
2021-09-12,83066
2021-09-13,56189
2021-09-14,54021
2021-09-15,53057
2021-09-16,55086
2021-09-17,52342
2021-09-18,72193
2021-09-19,105163
2021-09-20,104207
2021-09-21,94159
2021-09-22,58081
2021-09-23,51274
2021-09-24,57276
2021-09-25,76916
2021-09-26,54368
2021-09-27,53951
2021-09-28,64008
2021-09-29,57189
2021-09-30,100942
2021-10-01,118236
2021-10-02,105242
2021-10-03,108515
2021-10-04,97150
2021-10-05,86722
2021-10-06,79836
2021-10-07,66573
2021-10-08,46974
2021-10-09,53642
2021-10-10,73420
2021-10-11,65845
2021-10-12,61919
2021-10-13,82398
2021-10-14,60238
2021-10-15,72472
2021-10-16,96017
2021-10-17,68584
2021-10-18,42708
2021-10-19,41749
2021-10-20,41840
2021-10-21,43049
2021-10-22,53357
2021-10-23,74074
2021-10-24,60248
2021-10-25,38123
2021-10-26,37580
2021-10-27,37704
2021-10-28,39778
2021-10-29,57342
2021-10-30,76000
2021-10-31,61821
2021-11-01,48916
2021-11-02,61269
2021-11-03,58660
2021-11-04,55138
2021-11-05,69162
2021-11-06,87515
2021-11-07,68928
2021-11-08,44539
2021-11-09,42963
2021-11-10,42051
2021-11-11,42023
2021-11-12,62435
2021-11-13,85898
2021-11-14,68850
2021-11-15,44414
2021-11-16,44035
2021-11-17,42999
2021-11-18,43185
2021-11-19,54523
2021-11-20,81291
2021-11-21,66192
2021-11-22,46953
2021-11-23,47857
2021-11-24,67659
2021-11-25,50052
2021-11-26,65110
2021-11-27,89432
2021-11-28,68334
2021-11-29,43169
2021-11-30,41681
2021-12-01,41273
2021-12-02,39743
2021-12-03,53709
2021-12-04,80252
2021-12-05,64012
2021-12-06,40795
2021-12-07,40170
2021-12-08,38209
2021-12-09,40097
2021-12-10,66061
2021-12-11,90237
2021-12-12,73521
2021-12-13,47846
2021-12-14,52164
2021-12-15,51851
2021-12-16,55370
2021-12-17,66676
2021-12-18,89830
2021-12-19,72908
2021-12-20,86267
2021-12-21,59440
2021-12-22,53834
2021-12-23,50572
2021-12-24,61537
2021-12-25,86206
2021-12-26,86648
2021-12-27,63239
2021-12-28,55114
2021-12-29,53847
2021-12-30,57233
2021-12-31,98856
2022-01-01,125559
2022-01-02,101601
2022-01-03,82240
2022-01-04,66089
2022-01-05,123546
2022-01-06,92833
2022-01-07,95302
2022-01-08,116946
2022-01-09,100004
2022-01-10,77569
2022-01-11,80365
2022-01-12,82471
2022-01-13,85629
2022-01-14,101117
2022-01-15,119332
2022-01-16,108876
2022-01-17,98283
2022-01-18,101837
2022-01-19,110086
2022-01-20,110956
2022-01-21,113062
2022-01-22,117600
2022-01-23,114645
2022-01-24,116199
2022-01-25,139323
2022-01-26,132883
2022-01-27,134753
